iter	Passed	Remaining
435	1235	1597
436	1236	1592
437	1237	1587
438	1238	1582
439	1238	1576
440	1239	1571
441	1242	1568
442	1245	1565
443	1248	1563
444	1250	1559
445	1251	1554
446	1252	1549
447	1253	1544
448	1254	1538
449	1254	1533
450	1256	1529
451	1257	1524
452	1259	1520
453	1259	1515
454	1262	1512
455	1263	1507
456	1264	1502
457	1266	1498
458	1266	1493
459	1267	1488
460	1268	1483
461	1269	1478
462	1272	1476
463	1274	1472
464	1278	1470
465	1279	1465
466	1280	1461
467	1281	1456
468	1282	1451
469	1283	1446
470	1283	1442
471	1287	1440
472	1289	1436
473	1290	1431
474	1293	1429
475	1294	1425
476	1295	1420
477	1296	1416
478	1297	1411
479	1298	1406
480	1301	1404
481	1303	1400
482	1305	1396
483	1306	1393
484	1308	1388
485	1309	1385
486	1310	1380
487	1311	1375
488	1312	1371
489	1314	1368
490	1316	1364
491	1318	1361
492	1321	1359
493	1322	1355
494	1324	1350
495	1325	1346
496	1325	1341
497	1326	1337
498	1327	1332
499	1330	1330
500	1332	1326
501	1336	1325
502	1337	1321
503	1338	1316
504	1339	1312
505	1340	1308
506	1340	1303
507	1341	1299
508	1342	1294
509	1343	1290
510	1347	1289
511	1349	1286
512	1353	1284
513	1354	1280
514	1356	1277
515	1357	1273
516	1358	1268
517	1362	1268
518	1369	1269
519	1371	1265
520	1372	1262
521	1373	1258
522	1379	1257
523	1383	1256
524	1384	1252
525	1387	1250
526	1388	1246
527	1389	1242
528	1392	1240
529	1394	1236
530	1398	1235
531	1400	1232
532	1401	1228
533	1403	1224
534	1404	1220
535	1407	1218
536	1411	1216
537	1412	1213
538	1414	1209
539	1415	1205
540	1417	1202
541	1418	1198
542	1419	1194
543	1421	1191
544	1424	1189
545	1427	1186
546	1428	1182
547	1429	1179
548	1431	1175
549	1432	1172
550	1436	1170
551	1438	1167
552	1441	1165
553	1442	1161
554	1444	1158
555	1445	1154
556	1446	1150
557	1447	1146
558	1452	1145
559	1458	1145
560	1459	1142
561	1461	1139
562	1467	1138
563	1469	1136
564	1474	1135
565	1475	1131
566	1476	1127
567	1480	1125
568	1486	1125
569	1487	1122
570	1490	1119
571	1493	1117
572	1494	1113
573	1505	1117
574	1506	1113
575	1508	1110
576	1510	1107
577	1513	1105
578	1515	1102
579	1519	1100
580	1521	1097
581	1523	1094
582	1525	1091
583	1529	1089
584	1531	1086
585	1536	1085
586	1539	1082
587	1540	1079
588	1541	1075
589	1547	1075
590	1550	1072
591	1551	1069
592	1553	1066
593	1554	1062
594	1557	1060
595	1559	1057
596	1563	1055
597	1564	1051
598	1566	1048
599	1568	1045
600	1568	1041
601	1569	1037
602	1572	1035
603	1575	1033
604	1578	1030
605	1579	1026
606	1580	1023
607	1582	1020
608	1583	1016
609	1584	1012
610	1585	1009
611	1589	1007
612	1591	1004
613	1595	1002
614	1596	999
615	1597	996
616	1598	992
617	1599	988
618	1604	987
619	1609	986
620	1610	982
621	1611	979
622	1613	976
623	1614	972
624	1617	970
625	1623	969
626	1625	967
627	1627	964
628	1628	960
629	1630	957
630	1634	956
631	1636	953
632	1640	950
633	1641	947
634	1643	944
635	1645	941
636	1648	939
637	1650	936
638	1654	934
639	1656	931
640	1657	928
641	1658	924
642	1660	921
643	1663	919
644	1666	917
645	1669	915
646	1672	912
647	1673	909
648	1674	905
649	1686	908
650	1688	905
651	1689	901
652	1691	898
653	1694	896
654	1695	893
655	1697	890
656	1700	887
657	1701	884
658	1702	880
659	1703	877
660	1704	874
661	1705	870
662	1706	867
663	1708	864
664	1710	861
665	1712	858
666	1712	855
667	1714	852
668	1715	848
669	1717	845
670	1718	842
671	1719	839
672	1719	835
673	1720	832
674	1721	828
675	1724	826
676	1725	823
677	1728	820
678	1729	817
679	1731	814
680	1732	811
681	1733	808
682	1734	804
683	1735	801
684	1735	798
685	1738	795
686	1740	792
687	1742	790
688	1743	787
689	1744	783
690	1745	780
691	1747	777
692	1747	774
693	1748	771
694	1749	767
695	1751	764
696	1752	762
697	1753	758
698	1754	755
699	1756	752
700	1757	749
701	1758	746
702	1759	743
703	1760	740
704	1763	737
705	1765	735
706	1766	732
707	1768	729
708	1770	726
709	1771	723
710	1772	720
711	1774	717
712	1775	714
713	1776	711
714	1779	709
715	1780	706
716	1785	704
717	1786	701
718	1787	698
719	1788	695
720	1789	692
721	1790	689
